Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912214343230000;40;41.1;39.3;20.37446
132912214343330000;40;41.1;39.3;20.37446
132912214343430000;40;41.1;39.3;20.3630028
132912214343530000;40;41.1;39.3;20.3630028
132912214343630000;40;41.1;39.3;20.3630028
132912214343730000;40;41.1;39.3;20.3630028
132912214343830000;40;41.1;39.3;20.3630028
132912214343930000;40;41.1;39.3;20.3515434
132912214344030000;40;41.1;39.3;20.3515434
132912214344130000;40;41.1;39.3;20.3515434
132912214344230000;40;41.1;39.3;20.3515434
132912214344330000;40;41.1;39.3;20.3515434
132912214344430000;40;41.1;39.3;20.340086
132912214344530000;40;41.1;39.3;20.340086
132912214344630000;40;41.1;39.3;20.340086
132912214344730000;40;41.1;39.3;20.340086
132912214344830000;40;41.1;39.3;20.340086
132912214344930000;40;41.1;39.3;20.3286266
132912214345030000;40;41.1;39.3;20.3286266
132912214345130000;40;41.1;39.3;20.3286266
132912214345230000;40;41.1;39.3;20.3286266
132912214345330000;40;41.1;39.3;20.3286266
132912214345430000;40;41.1;39.3;20.31717
132912214345530000;40;41.1;39.4;20.31717
132912214345630000;40;41.1;39.4;20.31717
132912214345730000;40;41.1;39.4;20.31717
132912214345830000;40;41.1;39.4;20.31717
132912214345930000;40;41.1;39.4;20.30571
132912214346030000;40;41.1;39.4;20.30571
132912214346130000;40;41.1;39.4;20.30571
132912214346230000;40;41.1;39.4;20.30571
132912214346330000;40;41.1;39.4;20.30571
132912214346430000;40;41.1;39.4;20.2942524
132912214346530000;40;41.1;39.4;20.2942524
132912214346630000;40;41.1;39.4;20.2942524
132912214346730000;40;41.1;39.4;20.2942524
132912214346830000;40;41.1;39.4;20.2942524
132912214346930000;40;41.1;39.4;20.282793
132912214347030000;40;41.1;39.4;20.282793
132912214347130000;40;41.1;39.4;20.282793
132912214347230000;40;41.1;39.4;20.282793
132912214347330000;40;41.1;39.4;20.282793
132912214347430000;40;41.1;39.4;20.2713356
132912214347530000;40;41.1;39.4;20.2713356
132912214347630000;40;41.1;39.4;20.2713356
132912214347730000;40;41.1;39.4;20.2713356
132912214347830000;40;41.1;39.4;20.2713356
132912214347930000;40;41.1;39.4;20.2598763
132912214348030000;40;41.1;39.4;20.2598763
132912214348130000;40;41.1;39.4;20.2598763
132912214348230000;40;41.1;39.4;20.2598763
132912214348330000;40;41.1;39.4;20.2598763
132912214348430000;40;41.1;39.4;20.2484188
132912214348530000;40;41.1;39.4;20.2484188
132912214348630000;40;41.1;39.4;20.2484188
132912214348730000;40;41.1;39.4;20.2484188
132912214348830000;40;41.1;39.4;20.2484188
132912214348930000;40;41.1;39.4;20.2369614
132912214349030000;40;41.1;39.4;20.2369614
132912214349130000;40;41.1;39.4;20.2369614
132912214349230000;40;41.1;39.4;20.2369614
132912214349330000;40;41.1;39.4;20.2369614
132912214349430000;40;41.1;39.4;20.225502
132912214349530000;40;41.1;39.4;20.225502
132912214349630000;40;41.1;39.4;20.225502
132912214349730000;40;41.1;39.4;20.225502
132912214349830000;40;41.1;39.4;20.225502
132912214349930000;40;41.1;39.4;20.2140446
132912214350030000;40;41.1;39.4;20.2140446
132912214350130000;40;41.1;39.4;20.2140446
