Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912114344030000;40;40.2;39.2;14.3572636
132912114344130000;40;40.2;39.2;14.3551807
132912114344230000;40;40.2;39.2;14.3551807
132912114344330000;40;40.2;39.2;14.3551807
132912114344430000;40;40.1;39.2;14.3551807
132912114344530000;40;40.1;39.2;14.3551807
132912114344630000;40;40.1;39.2;14.3786182
132912114344730000;40;40.1;39.2;14.3786182
132912114344830000;40;40.1;39.2;14.3786182
132912114344930000;40;40.1;39.2;14.3786182
132912114345030000;40;40.1;39.2;14.3786182
132912114345130000;40;40.1;39.2;14.3775768
132912114345230000;40;40.1;39.2;14.3775768
132912114345330000;40;40.1;39.2;14.3775768
132912114345430000;40;40.1;39.2;14.3775768
132912114345530000;40;40.1;39.2;14.3775768
132912114345630000;40;40.1;39.2;14.3765354
132912114345730000;40;40.1;39.2;14.3765354
132912114345830000;40;40.1;39.2;14.3765354
132912114345930000;40;40.1;39.2;14.3765354
132912114346030000;40;40.1;39.2;14.3765354
132912114346130000;40;40.1;39.2;14.375494
132912114346230000;40;40.1;39.2;14.375494
132912114346330000;40;40.1;39.2;14.375494
132912114346430000;40;40.1;39.2;14.375494
132912114346530000;40;40.1;39.2;14.375494
132912114346630000;40;40.1;39.2;14.3744516
132912114346730000;40;40.1;39.2;14.3744516
132912114346830000;40;40.1;39.2;14.3744516
132912114346930000;40;40.1;39.2;14.3744516
132912114347030000;40;40.1;39.2;14.3744516
132912114347130000;40;40.1;39.2;14.37341
132912114347230000;40;40.1;39.2;14.37341
132912114347330000;40;40.1;39.2;14.37341
132912114347430000;40;40.1;39.2;14.37341
132912114347530000;40;40.1;39.2;14.37341
132912114347630000;40;40.1;39.2;14.3723688
132912114347730000;40;40.1;39.2;14.3723688
132912114347830000;40;40.1;39.2;14.3723688
132912114347930000;40;40.1;39.2;14.3723688
132912114348030000;40;40.1;39.2;14.3723688
132912114348130000;40;40.1;39.2;14.3713274
132912114348230000;40;40.1;39.2;14.3713274
132912114348330000;40;40.1;39.2;14.3713274
132912114348430000;40;40.1;39.2;14.3713274
132912114348530000;40;40.1;39.2;14.3713274
132912114348630000;40;40.1;39.2;14.370285
132912114348730000;40;40.1;39.2;14.370285
132912114348830000;40;40.1;39.2;14.370285
132912114348930000;40;40.1;39.2;14.370285
132912114349030000;40;40.1;39.2;14.370285
132912114349130000;40;40.1;39.2;14.3692436
132912114349230000;40;40.1;39.2;14.3692436
132912114349330000;40;40.1;39.2;14.3692436
132912114349430000;40;40.1;39.2;14.3692436
132912114349530000;40;40.1;39.2;14.3692436
132912114349630000;40;40.1;39.2;14.3682022
132912114349730000;40;40.1;39.2;14.3682022
132912114349830000;40;40.1;39.2;14.3682022
132912114349930000;40;40.1;39.2;14.3682022
132912114350030000;40;40.1;39.2;14.3682022
132912114350130000;40;40.1;39.2;14.3671608
132912114350230000;40;40.1;39.2;14.3671608
132912114350330000;40;40.1;39.2;14.3671608
132912114350430000;40;40.1;39.2;14.3671608
132912114350530000;40;40.1;39.2;14.3671608
132912114350630000;40;40.1;39.2;14.3661184
132912114350730000;40;40.1;39.2;14.3661184
132912114350830000;40;40.1;39.2;14.3661184
132912114350930000;40;40.1;39.2;14.3661184
132912114351030000;40;40.1;39.2;14.3661184
132912114351130000;40;40.1;39.2;14.365077
132912114351230000;40;40.1;39.2;14.365077
132912114351330000;40;40.1;39.2;14.365077
132912114351430000;40;40.1;39.2;14.365077
132912114351530000;40;40.1;39.2;14.365077
132912114351630000;40;40.1;39.2;14.3640356
132912114351730000;40;40.1;39.2;14.3640356
132912114351830000;40;40.1;39.2;14.3640356
132912114351930000;40;40.1;39.2;14.3640356
132912114352030000;40;40.1;39.2;14.3640356
132912114352130000;40;40.1;39.2;14.3629942
132912114352230000;40;40.1;39.2;14.3629942
132912114352330000;40;40.1;39.2;14.3629942
132912114352430000;40;40.1;39.2;14.3629942
132912114352530000;40;40.1;39.2;14.3629942
132912114352630000;40;40.1;39.2;14.3619518
132912114352730000;40;40.1;39.2;14.3619518
132912114352830000;40;40.1;39.2;14.3619518
132912114352930000;40;40.1;39.2;14.3619518
132912114353030000;40;40.1;39.2;14.3619518
132912114353130000;40;40.1;39.2;14.36091
132912114353230000;40;40.1;39.2;14.36091
132912114353330000;40;40.1;39.2;14.36091
132912114353430000;40;40.1;39.2;14.36091
132912114353530000;40;40.1;39.2;14.36091
132912114353630000;40;40.1;39.2;14.359869
132912114353730000;40;40.1;39.2;14.359869
132912114353830000;40;40.1;39.2;14.359869
132912114353930000;40;40.1;39.2;14.359869
132912114354030000;40;40.1;39.2;14.359869
132912114354130000;40;40.1;39.2;14.3588276
132912114354230000;40;40.1;39.2;14.3588276
132912114354330000;40;40.1;39.2;14.3588276
132912114354430000;40;40.1;39.2;14.3588276
132912114354530000;40;40.1;39.2;14.3588276
132912114354630000;40;40.1;39.2;14.3577852
132912114354730000;40;40.1;39.2;14.3577852
132912114354830000;40;40.1;39.2;14.3577852
132912114354930000;40;40.1;39.2;14.3577852
132912114355030000;40;40.1;39.2;14.3577852
132912114355130000;40;40.1;39.2;14.3567438
132912114355230000;40;40.1;39.2;14.3567438
132912114355330000;40;40.1;39.2;14.3567438
132912114355430000;40;40.1;39.2;14.3567438
132912114355530000;40;40.1;39.2;14.3567438
132912114355630000;40;40.1;39.2;14.3557024
132912114355730000;40;40.1;39.2;14.3557024
132912114355830000;40;40.1;39.2;14.3557024
132912114355930000;40;40.1;39.2;14.3557024
132912114356030000;40;40.1;39.2;14.3557024
132912114356130000;40;40.1;39.2;14.354661
132912114356230000;40;40.1;39.2;14.354661
132912114356330000;40;40.1;39.2;14.354661
132912114356430000;40;40.1;39.2;14.354661
132912114356530000;40;40.1;39.2;14.354661
132912114356630000;40;40.1;39.2;14.3536186
132912114356730000;40;40.1;39.2;14.3536186
132912114356830000;40;40.1;39.2;14.3536186
132912114356930000;40;40.1;39.2;14.3536186
132912114357030000;40;40.1;39.2;14.3536186
132912114357130000;40;40.1;39.2;14.3525772
132912114357230000;40;40.1;39.2;14.3525772
132912114357330000;40;40.1;39.2;14.3525772
132912114357430000;40;40.1;39.2;14.3525772
132912114357530000;40;40.1;39.2;14.3525772
132912114357630000;40;40.1;39.2;14.3515358
132912114357730000;40;40.1;39.2;14.3515358
132912114357830000;40;40.1;39.2;14.3515358
132912114357930000;40;40.1;39.2;14.3515358
132912114358030000;40;40.1;39.2;14.3515358
132912114358130000;40;40.1;39.2;14.3504944
132912114358230000;40;40.1;39.2;14.3504944
132912114358330000;40;40.1;39.2;14.3504944
132912114358430000;40;40.1;39.2;14.3504944
132912114358530000;40;40.1;39.2;14.3504944
132912114358630000;40;40.1;39.2;14.349452
132912114358730000;40;40.1;39.2;14.349452
132912114358830000;40;40.1;39.2;14.349452
132912114358930000;40;40.1;39.2;14.349452
132912114359030000;40;40.1;39.2;14.349452
132912114359130000;40;40.1;39.2;14.3484106
132912114359230000;40;40.1;39.2;14.3484106
132912114359330000;40;40.1;39.2;14.3484106
132912114359430000;40;40.1;39.2;14.3484106
132912114359530000;40;40.1;39.2;14.3484106
132912114359630000;40;40.1;39.2;14.3473692
132912114359730000;40;40.1;39.2;14.3473692
132912114359830000;40;40.1;39.2;14.3473692
132912114359930000;40;40.1;39.2;14.3473692
